TableName,ColumnName,Description,PK,DataType,Length,DefaultValue,Nullable,ForeignTable,ForeignCol
AerialCover                                       ,Cactus                                                                     ,,FALSE,Integer                  ,4,0,TRUE,,
AerialCover                                       ,Comments                                                                   ,,FALSE,Text                     ,100,                                                  ,TRUE,,
AerialCover                                       ,EventID                                                                    ,,TRUE,Text                     ,50,                                                  ,FALSE,,
AerialCover                                       ,Forbs                                                                      ,,FALSE,Integer                  ,4,                                                  ,TRUE,,
AerialCover                                       ,Gram                                                                       ,,FALSE,Integer                  ,4,                                                  ,TRUE,,
AerialCover                                       ,Nativity                                                                   ,,FALSE,Text                     ,255,                                                  ,TRUE,,
AerialCover                                       ,Shrubs                                                                     ,,FALSE,Integer                  ,4,                                                  ,TRUE,,
AerialCover                                       ,Species                                                                    ,,TRUE,Text                     ,255,                                                  ,FALSE,,
AerialCover                                       ,Status                                                                     ,,TRUE,Text                     ,255,                                                  ,FALSE,,
AerialCover                                       ,TreeRegen                                                                  ,,FALSE,Integer                  ,4,                                                  ,TRUE,,
bempCanopy                                        ,Cover                                                                      ,,FALSE,Integer                  ,4,                                                  ,TRUE,,
bempCanopy                                        ,EventID                                                                    ,,TRUE,Text                     ,50,                                                  ,TRUE,,
bempCanopy                                        ,Height                                                                     ,,FALSE,Integer                  ,4,                                                  ,TRUE,,
bempCanopy                                        ,Location                                                                   ,,FALSE,Text                     ,2,                                                  ,FALSE,,
bempCanopy                                        ,Plants                                                                     ,,FALSE,Integer                  ,4,                                                  ,TRUE,,
bempCenterTrees                                   ,EventID                                                                    ,,TRUE,Text                     ,50,                                                  ,FALSE,,
bempCenterTrees                                   ,LargeCount                                                                 ,"Count of >8"" DBH/DRC",FALSE,Integer                  ,4,0,TRUE,,
bempCenterTrees                                   ,MedCount                                                                   ,"Count of 4-8"" DBH/DRC",FALSE,Integer                  ,4,0,TRUE,,
bempCenterTrees                                   ,SmallCount                                                                 ,"Count of 2-4"" DBH/DRC",FALSE,Integer                  ,2,0,TRUE,,
bempCenterTrees                                   ,Species                                                                    ,Tree species,FALSE,Text                     ,255,                                                  ,TRUE,,
bempIntercept                                     ,Cover                                                                      ,"Ground cover; bare, leaf litter, large woody debris",FALSE,Text                     ,5,                                                  ,TRUE,,
bempIntercept                                     ,EventID                                                                    ,Event ID,TRUE,Text                     ,50,                                                  ,FALSE,,
bempIntercept                                     ,Position                                                                   ,Position along 98ft point intercept,TRUE,Integer                  ,4,                                                  ,FALSE,,
bempIntercept                                     ,VegForm                                                                    ,"Grass, sedge, forb, shrub under 20in, none",FALSE,Text                     ,5,                                                  ,TRUE,,
bempSmallTrees                                    ,Count                                                                      ,Tally of small trees or shrubs between 0.2 and 2in DBH/DRC,FALSE,Integer                  ,4,0,TRUE,,
bempSmallTrees                                    ,EventID                                                                    ,EventID,TRUE,Text                     ,50,                                                  ,FALSE,,
bempSmallTrees                                    ,Location                                                                   ,Locations along the transect,FALSE,Text                     ,255,                                                  ,TRUE,,
BioPhysical                                       ,AspectAzimuth                                                              ,dominant aspect azimuth,FALSE,Integer                  ,4,                                                  ,TRUE,,
BioPhysical                                       ,DepthtoGroundWater                                                         ,distance to ground water in feet,FALSE,Text                     ,255,                                                  ,TRUE,,
BioPhysical                                       ,DisttoStream                                                               ,distance from project boundary to nearest stream in feet,FALSE,Text                     ,255,                                                  ,TRUE,,
BioPhysical                                       ,EcologicalSiteType                                                         ,dominant site type based on NRCS WSS,FALSE,Memo                     ,0,                                                  ,TRUE,,
BioPhysical                                       ,ElevationFt                                                                ,elevation on site,FALSE,Integer                  ,4,0,TRUE,,
BioPhysical                                       ,FireImpactsDetails                                                         ,comments/details about fire impacts,FALSE,Memo                     ,0,                                                  ,TRUE,,
BioPhysical                                       ,HinkandOhmartClass                                                         ,dominant H&O classification based on aerial imagery,FALSE,Text                     ,255,                                                  ,TRUE,,
BioPhysical                                       ,KnownFireImpacts                                                           ,known fire impacts on site,FALSE,Yes/No                   ,1,No                                                ,TRUE,,
BioPhysical                                       ,LandUseCurrent                                                             ,current dominant land use,FALSE,Text                     ,255,                                                  ,TRUE,,
BioPhysical                                       ,LandUsePrevious                                                            ,previous dominant land use,FALSE,Text                     ,255,                                                  ,TRUE,,
BioPhysical                                       ,MaxPercentSlope                                                            ,maximum percent slope recorded on site,FALSE,Text                     ,255,                                                  ,TRUE,,
BioPhysical                                       ,PercentSlope                                                               ,"average site percent slope, in ranges: 5, 10, 15, 20, etc.",FALSE,Text                     ,255,                                                  ,TRUE,,
BioPhysical                                       ,PreTreatmentSiteDisturbance                                                ,information on disturbances existing on site prior to treatment implementation,FALSE,Memo                     ,0,                                                  ,TRUE,,
BioPhysical                                       ,PreviousRestorationTx                                                      ,has previous restoration treatment occurred on site?,FALSE,Yes/No                   ,1,No                                                ,TRUE,,
BioPhysical                                       ,PreviousRestorationTxInfo                                                  ,information about previous restoration treatments,FALSE,Memo                     ,0,                                                  ,TRUE,,
BioPhysical                                       ,PrjID                                                                      ,,TRUE,Text                     ,255,                                                  ,FALSE,,
BioPhysical                                       ,StreamflowonSite                                                           ,is there streamflow on/through the site?,FALSE,Yes/No                   ,1,No                                                ,TRUE,,
BioPhysical                                       ,TamariskBeetle                                                             ,is tamarisk beetle on site before treatment?,FALSE,Yes/No                   ,1,No                                                ,TRUE,,
BioPhysical                                       ,TechnicalLimitations                                                       ,what are the primary technical challenges/project limitations existing on site?,FALSE,Text                     ,255,                                                  ,TRUE,,
BioPhysical                                       ,TechnicalLimitationsComments                                               ,additional information on technical limitations,FALSE,Text                     ,255,                                                  ,TRUE,,
CanopyDensiometer                                 ,Canopy                                                                     ,,FALSE,Text                     ,15,                                                  ,TRUE,,
CanopyDensiometer                                 ,Comment                                                                    ,,FALSE,Text                     ,100,                                                  ,TRUE,,
CanopyDensiometer                                 ,DensE                                                                      ,,FALSE,Integer                  ,4,                                                  ,TRUE,,
CanopyDensiometer                                 ,DensN                                                                      ,,FALSE,Integer                  ,4,                                                  ,TRUE,,
CanopyDensiometer                                 ,DensS                                                                      ,,FALSE,Integer                  ,4,                                                  ,TRUE,,
CanopyDensiometer                                 ,DensW                                                                      ,,FALSE,Integer                  ,4,                                                  ,TRUE,,
CanopyDensiometer                                 ,DotsCount                                                                  ,,FALSE,Integer                  ,4,                                                  ,TRUE,,
CanopyDensiometer                                 ,EventID                                                                    ,,TRUE,Text                     ,50,                                                  ,FALSE,,
CanopyDensiometer                                 ,Point                                                                      ,,FALSE,Integer                  ,4,                                                  ,TRUE,,
CanopyDensiometer                                 ,Transect                                                                   ,,FALSE,Integer                  ,4,                                                  ,TRUE,,
DamageCodes                                       ,DamageCode                                                                 ,NPS Damage Code,TRUE,Text                     ,255,                                                  ,FALSE,,
DamageCodes                                       ,Description                                                                ,Damage description,FALSE,Text                     ,255,                                                  ,TRUE,,
DamageCodes                                       ,Notes                                                                      ,Additional notes,FALSE,Text                     ,255,                                                  ,TRUE,,
DamageSev                                         ,DamageCode                                                                 ,,TRUE,Text                     ,255,                                                  ,FALSE,,
DamageSev                                         ,DamageSev                                                                  ,,TRUE,Text                     ,255,                                                  ,FALSE,,
DamageSev                                         ,Description                                                                ,,FALSE,Memo                     ,0,                                                  ,TRUE,,
DamageSev                                         ,Notes                                                                      ,,FALSE,Memo                     ,0,                                                  ,TRUE,,
Event                                             ,CameraID                                                                   ,ID of camera used for photos,FALSE,Text                     ,255,                                                  ,TRUE,,
Event                                             ,Comment                                                                    ,,FALSE,Memo                     ,0,                                                  ,TRUE,,
Event                                             ,Declination                                                                ,Magnetic declination in degrees,FALSE,Double                   ,8,7,TRUE,,
Event                                             ,EventDate                                                                  ,,FALSE,Date/Time                ,8,                                                  ,FALSE,,
Event                                             ,EventID                                                                    ,,TRUE,Text                     ,50,                                                  ,FALSE,,
Event                                             ,FuelsObserver                                                              ,,FALSE,Text                     ,25,                                                  ,TRUE,,
Event                                             ,FuelsRecorder                                                              ,,FALSE,Text                     ,25,                                                  ,TRUE,,
Event                                             ,MonitoringStatus                                                           ,,FALSE,Text                     ,25,                                                  ,TRUE,,
Event                                             ,NumTransect                                                                ,,FALSE,Integer                  ,2,1,TRUE,,
Event                                             ,PlotID                                                                     ,,FALSE,Text                     ,50,                                                  ,FALSE,,
Event                                             ,PlotObserver                                                               ,,FALSE,Text                     ,25,                                                  ,TRUE,,
Event                                             ,PlotRecorder                                                               ,,FALSE,Text                     ,25,                                                  ,TRUE,,
Event                                             ,TreeObserver                                                               ,,FALSE,Text                     ,25,                                                  ,TRUE,,
Event                                             ,TreeRecorder                                                               ,,FALSE,Text                     ,25,                                                  ,TRUE,,
Event                                             ,VisitID                                                                    ,,FALSE,Text                     ,255,                                                  ,TRUE,,
Fuels1000Hr                                       ,Comment                                                                    ,Additional comments,FALSE,Text                     ,255,                                                  ,TRUE,,
Fuels1000Hr                                       ,DecayClass                                                                 ,Decay class of fuel,FALSE,Text                     ,10,                                                  ,TRUE,,
Fuels1000Hr                                       ,Diameter                                                                   ,Diameter of fuel,FALSE,Integer                  ,2,                                                  ,TRUE,,
Fuels1000Hr                                       ,EventID                                                                    ,Event ID,TRUE,Text                     ,50,                                                  ,FALSE,,
Fuels1000Hr                                       ,LogNum                                                                     ,Number of 1000 hr fuel,TRUE,Integer                  ,2,                                                  ,FALSE,,
Fuels1000Hr                                       ,Transect                                                                   ,Transect on which fuel was found,TRUE,Integer                  ,2,                                                  ,FALSE,,
FuelsDuffLitter                                   ,Comment                                                                    ,,FALSE,Text                     ,100,                                                  ,TRUE,,
FuelsDuffLitter                                   ,DuffDepth                                                                  ,,FALSE,Double                   ,8,                                                  ,TRUE,,
FuelsDuffLitter                                   ,EventID                                                                    ,,TRUE,Text                     ,50,                                                  ,FALSE,,
FuelsDuffLitter                                   ,FuelbedDepth                                                               ,,FALSE,Double                   ,8,                                                  ,TRUE,,
FuelsDuffLitter                                   ,LitterDepth                                                                ,,FALSE,Double                   ,8,                                                  ,TRUE,,
FuelsDuffLitter                                   ,Offset                                                                     ,,FALSE,Integer                  ,4,                                                  ,TRUE,,
FuelsDuffLitter                                   ,SampleLoc                                                                  ,,TRUE,Integer                  ,4,                                                  ,FALSE,,
FuelsDuffLitter                                   ,Transect                                                                   ,,TRUE,Integer                  ,4,                                                  ,FALSE,,
FuelsFine                                         ,Comment                                                                    ,Additional comments,FALSE,Text                     ,100,                                                  ,TRUE,,
FuelsFine                                         ,EventID                                                                    ,Event ID,TRUE,Text                     ,50,                                                  ,FALSE,,
FuelsFine                                         ,HundredHour                                                                ,100Hr Fuels Count,FALSE,Integer                  ,4,                                                  ,TRUE,,
FuelsFine                                         ,OneHour                                                                    ,1Hr Fuels count,FALSE,Integer                  ,4,                                                  ,TRUE,,
FuelsFine                                         ,Slope                                                                      ,Slope of fuel line,FALSE,Integer                  ,4,                                                  ,TRUE,,
FuelsFine                                         ,TenHour                                                                    ,10Hr Fuels count,FALSE,Integer                  ,4,                                                  ,TRUE,,
FuelsFine                                         ,Transect                                                                   ,Event transect ID,TRUE,Integer                  ,4,                                                  ,FALSE,,
GroundCover                                       ,BareSoil                                                                   ,,FALSE,Double                   ,8,                                                  ,TRUE,,
GroundCover                                       ,Bole                                                                       ,,FALSE,Double                   ,8,                                                  ,TRUE,,
GroundCover                                       ,Comment                                                                    ,,FALSE,Text                     ,100,                                                  ,TRUE,,
GroundCover                                       ,EventID                                                                    ,,TRUE,Text                     ,50,                                                  ,FALSE,,
GroundCover                                       ,Gravel                                                                     ,,FALSE,Single                   ,4,                                                  ,TRUE,,
GroundCover                                       ,Litter                                                                     ,,FALSE,Double                   ,8,                                                  ,TRUE,,
GroundCover                                       ,PlantBasal                                                                 ,,FALSE,Double                   ,8,                                                  ,TRUE,,
GroundCover                                       ,Rock                                                                       ,,FALSE,Double                   ,8,                                                  ,TRUE,,
nmramBiotic                                       ,Comments                                                                   ,Additional comments,FALSE,Text                     ,255,                                                  ,TRUE,,
nmramBiotic                                       ,EventID                                                                    ,Event ID,TRUE,Text                     ,50,                                                  ,FALSE,,
nmramBiotic                                       ,InvCover                                                                   ,Invasive species percent cover,FALSE,Integer                  ,4,                                                  ,TRUE,,
nmramBiotic                                       ,InvSpp                                                                     ,Invasive species: list codes,FALSE,Text                     ,255,                                                  ,TRUE,,
nmramBiotic                                       ,PolyID                                                                     ,polygon in project area,TRUE,Integer                  ,2,                                                  ,FALSE,,
nmramBiotic                                       ,RegenCover                                                                 ,Tree regeneration percent cover,FALSE,Integer                  ,2,                                                  ,TRUE,,
nmramBiotic                                       ,StrucType                                                                  ,Structure type,FALSE,Text                     ,255,                                                  ,TRUE,,
nmramBiotic                                       ,WetSpp                                                                     ,Wetlands species: list codes,FALSE,Text                     ,255,                                                  ,TRUE,,
nmramComp                                         ,Comment                                                                    ,,FALSE,Text                     ,100,                                                  ,TRUE,,
nmramComp                                         ,CT                                                                         ,,TRUE,Text                     ,5,                                                  ,FALSE,,
nmramComp                                         ,CTRaw                                                                      ,,FALSE,Double                   ,8,                                                  ,TRUE,,
nmramComp                                         ,EventID                                                                    ,,TRUE,Text                     ,50,                                                  ,FALSE,,
nmramComp                                         ,HerbSpp1                                                                   ,,FALSE,Text                     ,6,                                                  ,TRUE,,
nmramComp                                         ,HerbSpp2                                                                   ,,FALSE,Text                     ,6,                                                  ,TRUE,,
nmramComp                                         ,HerbSppEN1                                                                 ,,FALSE,Text                     ,1,                                                  ,TRUE,,
nmramComp                                         ,HerbSppEN2                                                                 ,,FALSE,Text                     ,1,                                                  ,TRUE,,
nmramComp                                         ,PercArea                                                                   ,,FALSE,Integer                  ,4,                                                  ,TRUE,,
nmramComp                                         ,PolyID                                                                     ,,TRUE,Text                     ,50,                                                  ,FALSE,,
nmramComp                                         ,ShortWoodEN1                                                               ,,FALSE,Text                     ,1,                                                  ,TRUE,,
nmramComp                                         ,ShortWoodEN2                                                               ,,FALSE,Text                     ,1,                                                  ,TRUE,,
nmramComp                                         ,ShortWoodSpp1                                                              ,,FALSE,Text                     ,6,                                                  ,TRUE,,
nmramComp                                         ,ShortWoodSpp2                                                              ,,FALSE,Text                     ,6,                                                  ,TRUE,,
nmramComp                                         ,TallWoodEN1                                                                ,,FALSE,Text                     ,1,                                                  ,TRUE,,
nmramComp                                         ,TallWoodEN2                                                                ,,FALSE,Text                     ,1,                                                  ,TRUE,,
nmramComp                                         ,TallWoodSpp1                                                               ,,FALSE,Text                     ,6,                                                  ,TRUE,,
nmramComp                                         ,TallWoodSpp2                                                               ,,FALSE,Text                     ,6,                                                  ,TRUE,,
nmramComp                                         ,WtScore                                                                    ,,FALSE,Double                   ,8,                                                  ,TRUE,,
nmramCover                                        ,AbioticCond                                                                ,Abiotic condition (SA Description),FALSE,Memo                     ,0,                                                  ,TRUE,,
nmramCover                                        ,BioticCond                                                                 ,"Biotic condition: vegetation patterns, composition and structure, exotics and invasives, disturbance evidence, fire and herbivory (SA Description)",FALSE,Memo                     ,0,                                                  ,TRUE,,
nmramCover                                        ,EventID                                                                    ,Event ID,TRUE,Text                     ,50,                                                  ,FALSE,,
nmramCover                                        ,LandContext                                                                ,Landscape context: summarize the wetland and surrounding landscape (SA Description),FALSE,Memo                     ,0,                                                  ,TRUE,,
nmramPolygon                                      ,Comment                                                                    ,Additional comments,FALSE,Text                     ,255,                                                  ,TRUE,,
nmramPolygon                                      ,DateCreated                                                                ,Date created,FALSE,Date/Time                ,8,                                                  ,TRUE,,
nmramPolygon                                      ,Description                                                                ,Brief description,FALSE,Text                     ,255,                                                  ,TRUE,,
nmramPolygon                                      ,PolygonID                                                                  ,Monitoring contractor ID/polygon standard ID,TRUE,Text                     ,255,                                                  ,FALSE,,
nmramPolygon                                      ,PolyName                                                                   ,Name of the polygon,FALSE,Text                     ,255,                                                  ,TRUE,,
nmramPolygon                                      ,Project                                                                    ,Project ID that current polygon falls under,FALSE,Text                     ,255,                                                  ,TRUE,,
nmramScores                                       ,CTScore                                                                    ,Weighted CT score for entire area,FALSE,Double                   ,8,                                                  ,TRUE,,
nmramScores                                       ,EventID                                                                    ,Event ID,TRUE,Text                     ,50,                                                  ,FALSE,,
nmramScores                                       ,Fuels                                                                      ,Surface fuels rating (Table 8),FALSE,Text                     ,255,                                                  ,TRUE,,
nmramScores                                       ,HorizStruct                                                                ,Ratings for overall vegetation horizontal path structure (B2),FALSE,Integer                  ,4,                                                  ,TRUE,,
nmramScores                                       ,InvCover                                                                   ,Rating for invasive exotic plant species cover (Table B5),FALSE,Integer                  ,4,0,TRUE,,
nmramScores                                       ,NativeCommComp                                                             ,Relative native plant community composition rating (B1),FALSE,Integer                  ,4,                                                  ,TRUE,,
nmramScores                                       ,PercInvCover                                                               ,Percent invasive species cover (Worksheet 9),FALSE,Double                   ,8,                                                  ,TRUE,,
nmramScores                                       ,SoilCond                                                                   ,Soil surface condition rating (Table 7),FALSE,Integer                  ,2,                                                  ,TRUE,,
nmramScores                                       ,TreeRegen                                                                  ,Native riparian tree regeneration rating (B4),FALSE,Integer                  ,4,                                                  ,TRUE,,
nmramScores                                       ,VertStruct                                                                 ,Rating for vegetation vertical structure (B3),FALSE,Integer                  ,4,                                                  ,TRUE,,
nmramScoreWts                                     ,HorizStruct                                                                ,Weight for overall vegetation horizontal path structure (B2),FALSE,Double                   ,8,                                                  ,TRUE,,
nmramScoreWts                                     ,ID                                                                         ,,TRUE,AutoNumber               ,4,                                                  ,TRUE,,
nmramScoreWts                                     ,InvCover                                                                   ,Weight for invasive exotic plant species cover (Table B5),FALSE,Double                   ,8,                                                  ,TRUE,,
nmramScoreWts                                     ,NativeCommComp                                                             ,Weight for native plant community composition rating (B1),FALSE,Double                   ,8,                                                  ,TRUE,,
nmramScoreWts                                     ,TreeRegen                                                                  ,Weight for native riparian tree regeneration rating (B4),FALSE,Double                   ,8,                                                  ,TRUE,,
nmramScoreWts                                     ,VertStruct                                                                 ,Weight for vegetation vertical structure (B3),FALSE,Double                   ,8,                                                  ,TRUE,,
nmramStructArea                                   ,Area1                                                                      ,Total % of project area for structural type 1 (Worksheet 8),FALSE,Integer                  ,4,                                                  ,TRUE,,
nmramStructArea                                   ,Area2                                                                      ,Total % of project area for structural type 2 (Worksheet 8),FALSE,Integer                  ,4,                                                  ,TRUE,,
nmramStructArea                                   ,Area5                                                                      ,Total % of project area for structural type 5 (Worksheet 8),FALSE,Integer                  ,4,                                                  ,TRUE,,
nmramStructArea                                   ,Area6H                                                                     ,Total % of project area for structural type 6H (Worksheet 8),FALSE,Integer                  ,4,                                                  ,TRUE,,
nmramStructArea                                   ,Area6S                                                                     ,Total % of project area for structural type 6S (Worksheet 8),FALSE,Integer                  ,4,                                                  ,TRUE,,
nmramStructArea                                   ,Area6W                                                                     ,Total % of project area for structural type 6W (Worksheet 8),FALSE,Integer                  ,4,                                                  ,TRUE,,
nmramStructArea                                   ,Area7                                                                      ,Total % of project area for structural type 7 (Worksheet 8),FALSE,Integer                  ,4,                                                  ,TRUE,,
nmramStructArea                                   ,EventID                                                                    ,Event ID,TRUE,Text                     ,50,                                                  ,FALSE,,
PhotoLog                                          ,BackDesc                                                                   ,Background descriptors,FALSE,Memo                     ,0,                                                  ,TRUE,,
PhotoLog                                          ,Comment                                                                    ,Additional comments,FALSE,Memo                     ,0,                                                  ,TRUE,,
PhotoLog                                          ,Crew                                                                       ,Crew intials of who took the photos,FALSE,Text                     ,255,                                                  ,TRUE,,
PhotoLog                                          ,DateTime                                                                   ,Date the photo was taken,FALSE,Date/Time                ,8,                                                  ,TRUE,,
PhotoLog                                          ,Direction                                                                  ,Direction facing when the photo was taken,FALSE,Text                     ,255,                                                  ,TRUE,,
PhotoLog                                          ,Distance                                                                   ,Distance from photo target (default in feet),FALSE,Double                   ,8,0,TRUE,,
PhotoLog                                          ,DistanceUnits                                                              ,Default units for distance,FALSE,Text                     ,255,"""Feet""                                            ",TRUE,,
PhotoLog                                          ,EventID                                                                    ,Event ID,FALSE,Text                     ,50,                                                  ,FALSE,,
PhotoLog                                          ,ForeDesc                                                                   ,Foreground descriptors,FALSE,Memo                     ,0,                                                  ,TRUE,,
